Domain,Subset,Mode,N_Partitions,Sweep_Set,Region_Index,Region_Label,Cutoff_Count,Expected_Cells,Eval_Cells,Finite_Value_Cells,Primary_Eligible_Cells,Finite_Eligible_Cells,Finite_Eligible_Eval_Pct,Positive_Cells,Positive_Eval_Pct,Negative_Cells,Negative_Eval_Pct,Zero_Cells,Large_Positive_Cells,Large_Positive_Eval_Pct,Large_Positive_Eligible_Pct,Large_Negative_Cells,Large_Negative_Eval_Pct,Large_Negative_Eligible_Pct,Mean_Value,Median_Value
Pathway,All,Period1_2015_2017,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9794,9794,98.929293,3468,35.030303,5278,53.313131,1048,616,6.222222,6.289565,2784,28.121212,28.425567,-0.215318,-0.015625
Pathway,All,Period2_2018_2020,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,579,5.790000,8954,89.540000,367,526,5.260000,5.313131,8953,89.530000,90.434343,-0.852398,-1.000000
Pathway,All,Period2_2018_2020,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9790,9790,98.888889,2912,29.414141,5697,57.545455,1181,184,1.858586,1.879469,1110,11.212121,11.338100,-0.107914,-0.020833
Pathway,PM,Combo6yr,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,776,7.760000,8738,87.380000,386,776,7.760000,7.838384,8738,87.380000,88.262626,-0.806695,-1.000000
Pathway,PM,Combo6yr,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,5800,5581,5581,56.373737,1640,16.565657,3285,33.181818,656,908,9.171717,16.269486,2755,27.828283,49.363913,-0.342109,-0.388889
Pathway,PM,Period1_2015_2017,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,1858,18.580000,7814,78.140000,228,1715,17.150000,17.323232,7757,77.570000,78.353535,-0.613349,-1.000000
Pathway,PM,Period1_2015_2017,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,5800,5581,5581,56.373737,1690,17.070707,3241,32.737374,650,870,8.787879,15.588604,2781,28.090909,49.829780,-0.337044,-0.381944
Pathway,PM,Period2_2018_2020,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,580,5.800000,8811,88.110000,509,580,5.800000,5.858586,8811,88.110000,89.000000,-0.832428,-1.000000
Pathway,PM,Period2_2018_2020,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,2400,2164,2164,21.858586,575,5.808081,1335,13.484848,254,1,0.010101,0.046211,899,9.080808,41.543438,-0.419516,-0.194444
Pathway,SM,Combo6yr,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,1193,11.930000,8240,82.400000,467,1087,10.870000,10.979798,8157,81.570000,82.393939,-0.711019,-1.000000
Pathway,SM,Combo6yr,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9795,9795,98.939394,4496,45.414141,4075,41.161616,1224,1572,15.878788,16.049005,1435,14.494949,14.650332,0.022709,0.000000
Pathway,SM,Period1_2015_2017,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,1764,17.640000,7811,78.110000,325,1708,17.080000,17.252525,7744,77.440000,78.222222,-0.609026,-1.000000
Pathway,SM,Period1_2015_2017,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9793,9793,98.919192,4733,47.808081,3971,40.111111,1089,1469,14.838384,15.000511,1453,14.676768,14.837129,0.006317,0.000000
Pathway,SM,Period2_2018_2020,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,807,8.070000,8553,85.530000,540,708,7.080000,7.151515,8328,83.280000,84.121212,-0.772305,-1.000000
